Cat,1:4:0,10,0
Commoner,1:8:0,10,0
Deer,1:8:0,10,0
Eagle,1:6:0,10,0
Goat,1:8:0,10,0
Hyena,1:8:1,10,0
Jackal,1:6:0,10,0
Vulture,1:8:1,10,0
Blood hawk,2:6:0,25,0
Flying Snake,2:4:0,25,0
Giant Weasel,2:8:0,25,0
Guard,2:8:2,25,0
Poisonous Snake,1:4:0,25,0
Stirge,1:4:0,25,0
Tribal Warrior,2:8:2,25,0
Axe Beak,3:10:3,50,0
Boar,2:8:2,50,0
Elk,2:10:2,50,0
Giant Poisonous Snake,2:8:2,50,0
Giant Wolf Spider,2:8:2,50,0
Goblin,2:6:0,50,0
Panther,3:8:0,50,0
Pteranodon,3:8:0,50,0
Riding Horse,2:10:2,50,0
Wolf,2:8:2,50,0
Cockatrice,6:6:6,100,1
Giant Goat,3:10:3,100,1
Giant Wasp,3:8:0,100,1
Gnoll,5:8:0,100,1
Hobgoblin,2:8:2,100,1
Jackalwere,4:8:0,100,1
Orc,2:8:6,100,1
Scout,3:8:3,100,1
Swarm of Insects,5:8:0,100,1
Worg,4:10:4,100,1
Bugbear,5:8:5,200,1
Giant Eagle,4:10:4,200,1
Giant Hyena,6:10:12,200,1
Giant Vulture,2:10:6,200,1
Goblin Boss,6:6:0,200,1
Hippogriff,3:10:3,200,1
Lion,4:10:4,200,1
Scarecrow,8:8:0,200,1
Thri-kreen,6:8:6,200,1
Tiger,5:10:10,200,1
Alloaurus,6:10:18,450,2
Ankheg,6:10:6,450,2
Centaur,6:10:12,450,2
Druid,5:8:5,450,2
Giant Boar,5:10:15,450,2
Giant Elk,5:12:10,450,2
Gnoll Pack Lord,9:8:9,450,2
Griffon,7:10:21,450,2
Ogre,7:10:21,450,2
Orc Eye of Gruumsh,6:8:18,450,2
Orog,5:8:20,450,2
Pegasus,7:10:21,450,2
Rhinoceros,6:10:12,450,2
Ankylosaurus,8:12:16,700,3
Hobgoblin Captain,6:8:12,700,3
Manticore,8:10:24,700,3
Phase Spider,5:10:5,700,3
Veteran,9:8:18,700,3
Couatl,13:8:39,1100,4
Elephant,8:12:24,1100,4
Gnoll Fang of Yeenoghu,10:8:20,1100,4
Wereboar,12:8:24,1100,4
Weretiger,16:8:48,1100,4
Bulette,9:10:45,1100,4
Gorgon,12:10:48,1800,5
Triceratetops,10:12:30,1800,5
Chimera,12:10:48,2300,6
Cyclops,12:12:60,2300,6
Tyrannosaurus Rex,13:12:52,3900,8
Young Gold Dragon,17:10:85,5900,10
Adult Gold Dragon,19:12:133,18000,17
Ancient Gold Dragon,28:20:252,36500,24
